company,tic,groundtruth:analytics,example_sent:analytics,start_year:analytics
eastside distilling inc.,EAST,1,"Eastside Distilling, Inc. (NASDAQ: EAST) announced the appointment of Janet Oak as Chief Branding Officer effective October 1, 2020 and Ashley Rydecki as Vice President, Financial Planning & Analysis (FP&A) effective September 28, 2020.  Ms. Oak will be responsible for executing the company's strategic shift to brand building and beverage marketing, and supporting our company mission and vision to be a premier Craft-inspired brand builder.   Ms. Oak will report directly to Chief Executive Officer, Paul Block.  Ms. Rydecki brings over a decade of experience in CPG financial strategy and planning—including M&A, S&OP, costing, production efficiency, budgeting, planning and variance analysis. Ms. Rydecki will report directly to Chief Financial Officer, Geoffrey Gwin.","02 Oct, 2020"
qualys inc.,QLYS,1,"Qualys, Inc. (NASDAQ: QLYS), a pioneer and leading provider of cloud-based security and compliance solutions, today announced that it has significantly expanded the power of its Cloud Platform by introducing Passive Network Sensor (PNS), a new member of the Qualys sensor family that natively integrates network analysis functions into the Qualys Cloud Platform, delivering customers complete IT visibility at scale, while drastically reducing cost and complexity.","06 Aug, 2018"
galmed pharmaceuticals ltd.,GLMD,1," today announced the completion of the statistical analysis of a pharmacokinetic (PK) study of three doses, including two high doses (400 mg and 600 mg), of its drug candidate, aramchol, in 66 healthy adult male volunteers. No Serious Adverse Events (SAEs) were observed in the study.","01 Dec, 2014"
halozyme therapeutics inc.,ANTX,1,"The exploratory analysis of median overall survival (OS) was similar between the treatment arms -- 11.8 months vs. 10.9 months in the PAG vs. AG arms respectively. Factors potentially having an impact on these results include less aggressive disease among patients in the AG arm and a greater than 40 percent discontinuation rate of PEGPH20 treatment at the time of the clinical hold, resulting in all patients receiving AG alone in both arms;","04 Jun, 2016"
american electric power,AEP,1,"The analysis examines the social and economic effects of retiring coal-fired power plants. AEP conducted an economic impact analysis by modeling the hypothetical closure of four active coal units to quantify the effects of a plant retirement on regional employment, labor income and gross domestic product. To help mitigate the impacts of plant closures, AEP will continue providing advanced notice of plant retirements. The company is committed to supporting employees in finding other employment within the company or as they reenter the job market, and working with community leaders to address other aspects of plant retirements.","22 Mar, 2021"
redhill biopharma ltd.,"ABVC, should be RDHL",1,"TEL AVIV, Israel and RALEIGH, N.C., May 21, 2021 /PRNewswire/ -- RedHill Biopharma Ltd. (Nasdaq: RDHL) (""RedHill"" or the ""Company""), a specialty biopharmaceutical company, today announced presentation (poster number: Fr244) at Digestive Disease Week 2021 of a new Travelers' Diarrhea (TD) severity classification tool providing clear separation of clinical severity categories and prognostic information for TD resolution, with potential utility in clinical practice. The new tool was developed with the Center for Infectious Diseases, University of Texas Houston School of Public Health.","21, May, 2021"
docusign inc.,DOCU,1,"As part of its drive to bring the power of artificial intelligence to the broader agreement process, DocuSign (NASDAQ:DOCU) today released DocuSign Analyzer, the AI-powered contract analytics solution designed for incoming agreements.","30 Sep, 2020"
mirati therapeutics inc.,MRTX,1,"SAN DIEGO, Sept. 20, 2021 /PRNewswire/ -- Mirati Therapeutics, Inc. (NASDAQ: MRTX), a clinical-stage targeted oncology company, today announced results from a post hoc exploratory analysis of the Phase 2 study, MRTX-500. Results showed durable responses and long-term survival with sitravatinib in combination with nivolumab (OPDIVO®)1 in patients with second or third line non-squamous non-small cell lung cancer (NSCLC) who experienced clinical benefit on a prior checkpoint inhibitor (CPI) and subsequent disease progression (n=68).","20 Sep, 2021"
aethlon medical inc.,AEMD,1,"Aethlon Medical, Inc. (NASDAQ:OTCQB:AEMD), and its diagnostic subsidiary, Exosome Sciences, Inc. (ESI), announced today that ESI researchers have developed and initially validated a lectin-based diagnostic platform that is able to isolate exosome-based biomarkers underlying a broad-spectrum of oncology indications.  Aethlon Medical develops targeted therapeutic devices to address infectious disease, cancer and other life-threatening conditions.  ESI develops exosome-based solutions to diagnose and monitor cancer and neurodegenerative disorders.","08 Sep, 2014"
thermo fisher scientific,TMO,1,"Thermo Fisher Scientific (NYSE: TMO), the world leader in serving science, today launched the Applied Biosystems QuantStudio Absolute Q Digital PCR System, the first fully integrated digital PCR (dPCR) system designed to provide highly accurate and consistent results within 90 minutes.Thermo Fisher Scientific Inc. is the world leader in serving science, with annual revenue of approximately $35 billion. Our Mission is to enable our customers to make the world healthier, cleaner and safer. Whether our customers are accelerating life sciences research, solving complex analytical challenges, improving patient diagnostics and therapies or increasing productivity in their laboratories, we are here to support them.","20 Sep, 2021"
abbvie,ABBV,1,"NORTH CHICAGO, Ill., Nov. 9, 2021 /PRNewswire/ -- AbbVie (NYSE: ABBV) today announced new results from a post-hoc analysis of the Phase 3 SELECT-BEYOND clinical trial evaluating RINVOQ® (upadacitinib; 15 mg, once daily) in patients with moderate to severe rheumatoid arthritis (RA) on stable background of conventional synthetic disease-modifying anti-rheumatic drugs (csDMARDs) with prior inadequate response or intolerance to at least one biologic DMARD.","09 Nov, 2021"
cvs health,"AXLA, should be CVS",1,"The CVS Health Research Institute is focused on contributing to the body of scientific knowledge related to pharmacy and health care through research collaborations with external academic institutions, participation in federally-funded research, analysis and sharing of CVS Health data sources and coordination of pilot programs and initiatives. CVS Health Research Institute findings support a continuous quality improvement environment, which encourages product innovation and development to benefit CVS Health patients, clients and their members.","18 Aug, 2015"
ampio pharmaceuticals inc.,"AMAG, should be AMPE",1,"GREENWOOD VILLAGE, Colo., April 30, 2012 /PRNewswire/ -- Ampio Pharmaceuticals, Inc. (Nasdaq: AMPE), a biopharmaceutical company conducting clinical trials on its three lead drugs (Ampion™, Optina™ and Zertane™), licensing distribution of those drugs and engaged in further drug development, announced the completion of the planned analysis of the day 84 data of the Ampion™ in the Knee (AIK) study conducted in Australia.  With the previously reported positive results 30 days after a single injection to the knees of patients suffering from osteoarthritis, the analysis was extended to also review pain outcomes at day 84 after the injection. ","30 Apr, 2012"
dover,DOV,1,"DOWNERS GROVE, Ill., Jan. 24, 2019 /PRNewswire/ -- The new TreadScan 2700 by
Rotary, part of Vehicle Service Group (VSG) and Dover (NYSE: DOV), makes it
easy for technicians to measure and analyze tire tread by instantly displaying
data that shows if tires should be replaced or require further vehicle
inspection such as suspension or alignment. It's a simple safety check that
protects customers and can result in additional tire sales and service work
for the shop. And, the price is low enough to install one in every bay instead
of tying up valuable space with a dedicated lane.","24, Jan, 2019"
biohaven pharmaceutical holding company ltd.,BHVN,1,"The study population was derived from a longitudinal and anonymized integrated commercial medical and prescription claims database. The data contains patient-level claims with plan, payer, facility, procedure, medication, and diagnosis information. To be included in the study patients had to have 18 months of observation data, at least one opioid fill in the baseline period, and at least two Nurtec ODT fills during the follow-up period. The study period was from June 2019 through July 2021. A sub-cohort analysis of current and past/or non-triptan users was also conducted to describe comedication use.","07 Apr, 2022"
johnson controls international plc,JCI,1,"Johnson Controls (NYSE:JCI) and Lawrence Berkeley National Laboratory (Berkeley Lab) announced the release of the Building Efficiency Targeting Tool for Energy Retrofits (BETTER) to the public today. The easy-to-use, open source BETTER tool allows building owners and managers to rapidly convert readily available monthly building energy consumption data into specific, recommendations for improvement. In this unprecedented time of a global pandemic, creating a safe environment in schools, commercial and government buildings is more important than ever. This analysis can be performed without the need for on-site audits or inspections, allowing many currently unemployed energy efficiency workers to continue to plan and develop building retrofit and commissioning projects.","09 Jul, 2020"
abbott,ABT,1,Meta-analysis of 75 real-world studies found that Abbott's FreeStyle Libre system is associated with significant reductions in glycated hemoglobin (HbA1c) at three months1,"28 Apr, 2022"
doble engineering company,ALTR,1,"Doble Engineering Company, a leader in power grid diagnostic solutions, today announced the release of the Doble Test Assistant® (DTA) 8. The latest version of the software adds support for the Vanguard Turns Ratio products and improves the diagnostic power of exciting current and loss tests on power transformers, enabling power and utility companies to evaluate data without the impact of capacitive loading.","07 Mar, 2022"
vtex,VTEX,1,"VTEX, the enterprise digital commerce platform for premier brands and retailers, leader in accelerating the digital commerce transformation in Latin America and now expanding globally, follows a detailed schedule of actions to prepare for Black Friday, which will take place on November 26 in most of the 32 countries serviced by the company. Underway since August, the planning, which includes load testing, early risk analysis, and incident protocol, involves a multidisciplinary technology team composed of professionals dedicated to areas such as infrastructure, security, privacy, site reliability engineering (SRE), development, and product applications.","18 Nov, 2021"
edwards lifesciences corporation,EW,1,"Edwards Lifesciences (NYSE: EW) today announced that a cost-effectiveness analysis comparing transcatheter aortic valve replacement (TAVR) to surgery demonstrated that TAVR with SAPIEN 3 is an economically dominant treatment strategy, offering improved outcomes and reduced cost. This analysis from the PARTNER 3 trial was presented during the late-breaking clinical trials at the 33rd Transcatheter Cardiovascular Therapeutics (TCT), the annual scientific symposium of the Cardiovascular Research Foundation.","05 Nov, 2021"
carnival corporation  plc,,1,"In this role leading IAG, Carnival Corporation's new internal investigations group, Rowlett will oversee a team of global investigators focused on analyzing select health, environment, safety and security (HESS) events within the company's nine cruise line brands. She is also responsible for leading efforts to deploy new global investigation procedures, develop an investigator training and certification program, and standardize a company-wide, root-cause analysis system to aid in continuous operational improvement.","16 Sep, 2019"
