edit_sim:analytic,edit_sim:innovation,edit_sim:technology,edit_sim_sent:analytic,edit_sim_sent:innovation,edit_sim_sent:technology,company,haskey:analytic,haskey:innovation,haskey:technology,tic,groundtruth:analytics,example_sent:analytics,start_year:analytics,Notes:analytics,Actuall User
0.888888889,1,1,cognizant to acquire servian a leading australian data and analytics consulting firm,cognizant marks official opening of boulder tech innovation hub,cognizant to present at the morgan stanley technology media  telecom conference,cognizant,1,1,1,,1,"Cognizant (Nasdaq: CTSH) today announced it has entered into an agreement to acquire Servian, a Sydney, Australia-based, privately-held enterprise transformation consultancy specializing in data analytics, artificial intelligence, digital services, experience design, and cloud.","10 Jan, 2021",Tic should be CTSH,
0.888888889,1,1,bd launches enhanced antimicrobial stewardship analytics capabilities,bd innovation profiled in cover story of science demonstrates landmark advancement in flow cytometry technology,bd forms sustainable medical technology institute to reduce the environmental impact of its product portfolio,bd becton dickinson and company,1,1,1,BDX,1,"BD (Becton, Dickinson and Company) (NYSE: BDX), a leading global medical technology company, today announced its latest advancement in combating antimicrobial resistance (AMR) with new analytics integrated into the company's connected medication management platform that identifies when an inappropriate and potentially ineffective antibiotic has been prescribed, based on a patient's specific infection diagnosis.","21 Nov, 2019",Diagnostic analytics,
0.888888889,0.6,1,altair futureai global event to demonstrate how artificial intelligence and analytics accelerate digital transformation,toggled unveils next generation intelligent building technology at lightfair 2021,altair expands electronic system design technology with acquisition of powersim,altair,1,0,1,ALTR,0,"Altair (Nasdaq: ALTR), a global technology company providing solutions in simulation, high-performance computing (HPC), and artificial intelligence (AI) will hold its Future.AI event, June 15-17. This virtual event will showcase advances in analytics and AI that solve challenges and drive next-level results in manufacturing, banking, financial services, insurance, retail, government agencies, education, and healthcare.","21 May, 2021",ALTR is a provider,
0.888888889,1,1,samsung securities lays foundation for digital innovation with oracle cloud infrastructure moves derivatives analytics business to the cloud,oracle and red bull racing launch a new chapter of innovation in formula one,oracle and aicpa  cima team up to tackle the technology skills gap in finance,oracle,1,1,1,ORCL,1,"Samsung Securities, Korea’s leading financial investment company, has selected Oracle Cloud Infrastructure (OCI) to underpin its digital innovation strategy as the company looks to respond to changes driven by the rise of digital finance in a post-pandemic world.","12, Nov, 2021",ORCL's customer uses its product,
0.888888889,0.909090909,1,shareholder alert purcell julie  lefkowitz llp is investigating helios and matheson analytics inc for potential breaches of fiduciary duty by its board of directors,shareholder alert purcell julie  lefkowitz llp is investigating health insurance innovations inc for potential breaches of fiduciary duty by its board of directors,shareholder alert purcell julie  lefkowitz llp is investigating rackspace technology inc for potential breaches of fiduciary duty by its board of directors,purcell julie  lefkowitz llp,1,1,1, ,0,"Purcell & Lefkowitz LLP, a class action law firm dedicated to representing shareholders nationwide, is investigating a potential breach of fiduciary duty claim involving the board of directors of Skillz Inc. (NYSE: SKLZ).","05 Jun, 2023",,
0.888888889,0.8,1,houghton mifflin harcourt and renaissance forge exclusive strategic partnership bringing together deep data analytics assessment capabilities and core curriculum,montgomery public school sees swift improvements in student reading ability with the help of innovative ai tool,houghton mifflin harcourt to present at bmo 2021 technology summit,houghton mifflin harcourt,1,0,1,HMHC,1,"By producing a growth measure for each student that is predictive of performance on high stakes tests and, for the first time, deeply connected to instructional resources in the core curriculum, the strategic partnership gives educators more time and support to focus on differentiating instruction.Together, Renaissance assessment tools and HMH curriculum will offer ongoing recommendations for flexible grouping based on areas where students require additional support or have achieved mastery and need new challenges. Additionally, teachers will be able to derive insight from a unified set of data to demonstrate student proficiency of subject matter in the context of state standards.","04 Apr, 2018",predictive and Prescriptive analytics,
0.888888889,1,1,san diego international airport works with honeywell to test advanced video analytics to help create healthier airports,honeywell establishes robotics innovation hub for next generation distribution centers,americas largest plastics recycler will use honeywells advanced plastics recycling technology,honeywell,1,1,1,HON,0,"Honeywell Building Technologies (NYSE: HON) is working with San Diego International Airport (SAN)'s accelerator program, the Airport Innovation Lab, to test the use of advanced video analytics technology to enhance airport health and safety.","18, Mar, 2021",HON is the provider,
0.888888889,0.909090909,1,rosen law firm announces filing of securities class action lawsuit against helios and matheson analytics inc important deadline  hmny,hiiq class action notice rosen law firm announces filing of securities class action lawsuit against health insurance innovations inc  hiiq,rosen a top ranked law firm encourages embark technology inc fka northern genesis acquisition corp ii investors with losses to secure counsel before important deadline in securities class action  embk embkw ngab ngabu,rosen law firm p.a.,1,1,1,,0,,3-Aug-18,,
0.888888889,1,1,ssc announces collaboration with morningstar sustainalytics to expand access to esg research data and analytics,ssc exceeds 100 clients on precision lm loan servicing platform innovation drives strong momentum with global lenders and servicers,ssc to present at the 17th annual needham technology  media conference,ssc,1,1,1,Tic,1,"SS&C Technologies Holdings, Inc. (Nasdaq: SSNC) today announced it will integrate Sustainalytics' ESG data into SS&C Advent platforms to power portfolio management and analytics workflows for its global client base. Morningstar Sustainalytics is a leading global provider of ESG research, ratings and data.","27 Apr, 2022",Tic should be ssnc,
0.888888889,1,1,caterpillar announces new organizational structure for mining and customer and dealer facing divisions focus on innovation and data analytics remains a key priority,caterpillar foundation donation creates first african american innovation entrepreneurship curator with smithsonians national museum of african american history and culture,caterpillar brings its products services and technology to life at conexpo conagg 2020,caterpillar inc.,1,1,1,CAT,1,"Marketing and Digital Division, Vice President George Taylor – newly created division that builds on the current Analytics & Innovation Division. Taylor, who has also been named Caterpillar's Chief Marketing Officer, and his team will establish a go-to-market strategy for the integration of data analytics, providing state-of the-art solutions and support for customers and dealers. In addition to the digital transformation of the dealer and customer experience, the division's functions include global brand management, marketing, rental services and retail sales development.","24 Sep, 2015",,
0.888888889,0.8,0.75,early adopter states approve lexisnexis rooftop analytics home insurance rating,lexisnexis risk solutions ubernimmt verhaltensbiometrischen innovator behaviosec,lexisnexis risk solutions and imeta technologies join forces to reduce financial crime risk for financial institutions,lexisnexis risk solutions,1,0,0,,0,"LexisNexis® Risk Solutions, a leading provider of data and analytics for the insurance industry, today announced that LexisNexis® Rooftop, a risk assessment tool for home insurance carriers, has been approved for rating in a number of states in which wind and hail loss costs have traditionally been high. Alabama, Georgia, Louisiana and South Dakota have recently been added to the growing list of states that have approved the model. LexisNexis Rooftop has been approved in each of the states where the model has been filed.","03 May, 2022",,
0.888888889,1,1,trinet introduces workforce analytics to help small and medium size businesses enhance and streamline strategic business decisions,trinet to present at the sanford c bernstein technology innovation summit,trinet appoints craig flower as chief technology officer and sateesh chilukuri as vice president of software development,trinet,1,1,1,TNET,0,"DUBLIN, Calif., July 16, 2019 /PRNewswire/ -- TriNet (NYSE: TNET), a leading provider of full-service HR solutions for small and medium size businesses (SMBs), today announced the release of its HR reporting and analytics tool, TriNet Workforce Analytics. Integrated with the TriNet HR platform, Workforce Analytics delivers to SMBs rich data extracted from a single system, providing in-depth analysis needed for accurate reporting and forecasting in order to make informed business decisions.","16 Jul, 2019",TNET is a provider,
0.888888889,1,1,envestnet offers retirement analytics to enterprise home offices bolstering intelligence driven business insights,envestnet celebrates 20 years of innovation,envestnets spring technology releases further enhance its financial wellness ecosystem,envestnet inc.,1,1,1,ENV,0,"Envestnet, Inc. (NYSE: ENV) has rolled out the Envestnet Retirement Analytics solution for enterprise home offices, providing them with a business intelligence tool for obtaining a clear picture of their books of business for employer-sponsored retirement plans—and helping their clients to achieve better outcomes.  ",9-Sep-20,ENV is a provider,
0.888888889,1,1,blackline expands technology partner ecosystem teaming up with dell boomi host analytics onecloud workato and others,blackline expands partnership with google cloud to bring greater scalability and innovation to finance  accounting organizations,blackline expands technology partner ecosystem teaming up with dell boomi host analytics onecloud workato and others,blackline,1,1,1,BL,0,"Building on several longstanding relationships with industry leaders such as SAP, Oracle NetSuite and Sage Intacct, BlackLine, Inc. (Nasdaq: BL) is expanding its technology partner ecosystem with the goal of increasing customer value by making it easier than ever for ERP (Enterprise Resource Planning), RPA (Robotic Process Automation), integration and best-of-breed financial application software providers to connect their solutions to the company's market-leading cloud platform for financial controls and automation.","26 Jun, 2019",BL is a provider,
0.888888889,1,1,sap analytics cloud features new augmented analytics and collaborative enterprise planning capabilities,sap delivers innovation to address customers most pressing needs,sap empowers developers with low codeno code tools and further enhancements to sap business technology platform,sap se,1,1,1,VTEC,0,"SAP SE (NYSE: SAP) today announced enhancements to the SAP® Analytics Cloud solution, including augmented analytics, business intelligence (BI), enterprise planning workflows and data integration capabilities. This announcement was made at Gartner Data & Analytics Summit being held March 18–21 in Orlando, Florida.","19 Mar, 2019",,
0.888888889,1,1,revolut selects equifax as us data and analytics partner,equifax accelerates fintech innovation with new innovationx immersive experience,alchemy technology and equifax partner to drive fintech innovation,equifax inc.,1,1,1,EFX,0,"Global data, analytics and technology company Equifax (NYSE: EFX), and global fintech innovator, Revolut today announced a new strategic relationship. Used by more than 15 million people globally to make over 100 million transactions a month, Revolut has selected Equifax to better serve its customers in the United States and provide a more diverse range of services. Equifax was chosen for the ability to provide cloud-native differentiated data assets and real-time predictive analytics for a faster, more informed view of customers and prospects.","27 Apr, 2021","Revolut is the user, EFX is the provider",
0.888888889,1,1,blackberry cylance delivers first proactive behavioral analytics solution with cylancepersona,blackberry l spark launch third cohort of accelerator program to advance canadian connected vehicle technology innovation,blackberry and marelli expand collaboration in china region to power next generation cockpit technology,blackberry limited,1,1,1,BBRY,1,"BlackBerry Cylance, a business unit of BlackBerry Limited (NYSE:BB: TSX:BB), today announced the introduction of CylancePERSONA, the first proactive endpoint behavioral analytics solution.",5-Mar-19,,
0.888888889,0.6,0.4,empire state realty trust adds data analytics company sisense as full floor tenant at times square south,empire state realty trust signs new lease with american eagle outfitters in prime connecticut retail location,empire state realty trust announces community solar project at 500 mamaroneck will generate more than double the buildings energy needs,empire state realty trust inc.,1,0,0,ESRT,0,"Empire State Realty Trust (NYSE: ESRT) announces Sisense Inc., the industry leader in data analytics, has signed a long-term, full-floor lease for 24,000 sq. ft. at 1359 Broadway.","20 Sep, 2016",,
0.888888889,1,1,mgic announces officer promotions in customer experience and mortgage modeling analytics,mgic highlights commitment to innovation with promotion new hire,compass analytics and mgic announce technology integration partnership,mgic investment corporation,1,1,1,AGNC,1,"Mortgage Guaranty Insurance Corporation (MGIC), the principal subsidiary of MGIC Investment Corporation (NYSE: MTG), today announced the promotion of Christina Ficks to Vice President – Customer Experience, and Erik Leaver to Vice President – Mortgage Modeling Analytics.","05 May, 2022",,
0.888888889,1,1,infosys accredited with google cloud partner specialization for data and analytics,infosys and rolls royce extend strategic collaboration with launch of joint aerospace engineering and digital innovation centre in india,infosys digital radar 2022 finds technology adoption alone no longer the key to unlocking success and profits,infosys,1,1,1,"INFY, Missing",1,"Infosys (NYSE: INFY), the global leader in next-generation digital services and consulting, today announced that it has been accredited with the Google Cloud Partner Specialization in the data and analytics space. Infosys achieved this recognition by successfully demonstrating end-to-end capabilities on Google Cloud including data ingestion, streaming, querying, exploration, analysis, storage, and warehousing on cloud. Infosys is among the top global system integrators (SI) to be accredited with this specialization.","18 Jan, 2021",INFY is a provider,
0.888888889,1,1,aon hewitt launches talent insight and analytics solution to help clients make more effective data driven hr decisions,aon appoints jillian slyfield as chief innovation officer,aon sells esolutions unit to symphony technology group,aon plc,1,1,1,AON,1,"Aon Hewitt, the global talent, retirement and health solutions business of Aon plc (NYSE:AON), today launched a new Talent Insight and Analytics solution to help organizations better understand their HR data and adopt fact-based decision-making to create more effective people, compensation and career development strategies.",4-Jun-14,AON is a prorviderr,
0.888888889,0.7,0.3,credera achieves the aws data and analytics competency status,omnicoms credera launches amazon center of excellence to innovate and transform the digital customer experience,credera names nickoria johnson chief diversity officer,omnicom precision marketing group,1,0,0,OMC,1," Credera, a global boutique consulting firm focused on strategy, innovation, data, and technology, today announced the achievement of the Amazon Web Services Data and Analytics Competency. The designation recognizes that Credera has demonstrated success in helping customers evaluate and use modern tools and best practices for collecting, storing, governing, and analyzing data at any scale.","09 Mar, 2022","News talked about Credera, a subsidiry of OMC.",
0.888888889,1,1,lockheed martin introduces open source software platform for simpler real time analytics processing and analysis,innovation center opens at lockheed martin in orlando,lockheed martin amazon and cisco to bring voice technology and video collaboration to the moon,lockheed martin,1,1,1,LMT,1,"Software developers at Lockheed Martin (NYSE: LMT) have designed a platform to make big data analysis easier for developers and non-developers and are open sourcing the project on GitHub, a popular web-based hosting service.","08, Jan, 2015",,
0.888888889,0.727272727,0.4,trucost launches physical risk analytics to help assess risks and opportunities from climate change,highly disrupted corporate and financial information flow begins recovery from covid 19,demand prolongs us broadband boom through mid 2021,sp global market intelligence,1,0,0,"GMC, should be SPGI",1,"Trucost, part of S&P Global, has launched Climate Change Physical Risk analytics, to help investors, companies and governments understand the exposure of businesses' assets to climate change. The launch of the new dataset is especially significant as investors and companies are increasingly considering the effects of global climate change and the risks it poses on companies' future growth.","27 Nov, 2019","News talked about Trucost, a subsidiry of SPGI.",
0.888888889,1,0.636363636,standard  poors adds financial institution data and risk analytics to ratingsdirect on the global credit portal,sp gsci dynamic roll index named innovation of the year,sp indices announces update to us indices methodology,standard  poors,1,1,0,"LAB, should be MHP",1,"S&P Valuation and Risk Strategies today announced the launch of CreditStats Direct for Financial Institutions, a powerful new data and analytics application that provides direct access to credit-adjusted financial data with up to 3-years history for banks rated by S&P. The addition of this credit analysis tool allows market participants to gain in-depth insight into the creditworthiness of over 600 global rated banks.","01 Aug, 2011","News talked about S&P, a subsidiry of MHP.",
0.888888889,1,1,thomson reuters integrates and offers sap cloud platform sap analytics cloud and sap hana as part of its onesource tax technology solution delivering enhanced compliance to customers,thomson reuters announces two new leadership appointments to drive innovation and integration,thomson reuters integrates and offers sap cloud platform sap analytics cloud and sap hana as part of its onesource tax technology solution delivering enhanced compliance to customers,thomson reuters,1,1,1,TRI,1,The new financial institutions offering combines a wide range of S&P analytics and benchmark data in a single research platform. CreditStats Direct for Financial Institutions incorporates line-item-by-line-item financial statement data; side-by-side credit comparison tools for up to 100 entities or aggregates for up to five portfolios; and transparency into the methodologies used by S&P credit analysts to help investors conduct deep-dive analysis of their portfolios.,"01 Jun, 2018","News doesn't include the ticker, but the output shows the ticker",
0.888888889,1,1,salesforce announces einstein analytics for financial services  ai powered insights for wealth advisors managers and retail bankers,salesforce expands financial services cloud with new insurance innovation  bringing policyholders insurers and agents together,salesforce and disney studios content join forces to help accelerate production with new technology,salesforce,1,1,1,CRM,1,"Salesforce announced Einstein Analytics for Financial Services, a customizable analytics solution that provides AI-augmented business intelligence for wealth advisors, retail bankers and managers.",,CRM is a provider,
0.888888889,1,1,ibm watson advertising brings ai driven weather analytics to aws data exchange,with lets create ibm launches brand campaign to accelerate innovation with clients and partners,the weather company an ibm business expands max platform offerings to include new storytelling technology and on air severe weather alerting features,ibm,1,1,1,,0,,7-Jan-22,Maybe IBM Watson & Amazon,
0.888888889,0.538461538,0.363636364,shareholder alert gardy  notis llp announces class action against helios and matheson analytics inc nasdaq hmny,spirit airlines inc nyse save alert gardy  notis llp announces investigation of potential securities fraud,warren resources inc stockholder notice gardy  notis llp reminds stockholders of warren resources inc nasdaq wres otc wresq of class action lawsuit and upcoming deadline,gardy  notis llp,1,0,0,,0,,"Sept. 4, 2018",,
0.888888889,1,1,clearwater analytics continues product innovation with q1 product updates,clearwater analytics continues product innovation with q1 product updates,clearwater analytics to present at morgan stanley technology media  telecom conference,clearwater analytics,1,1,1,CWAN,1,"Thousands of client users rely on Clearwater Analytics as their single version of the truth to meet their accounting, regulatory, and financial reporting needs with high accuracy and efficient, timely reporting. Clearwater takes on the operational tasks associated with investment accounting and reporting so that its clients can focus on growing their investment returns. The Q1 product updates include support for the latest accounting and regulatory standards, enriched asset class reporting, and upgraded user experience.","05 May, 2022",,
0.888888889,1,1,synopsys acquires semiconductor analytics innovator qualtera,synopsys and tsmc drive chip innovation with development of broadest ip portfolio on tsmc n4p process,synopsys expands strategic technology collaboration with tsmc to extend 3d system integration solutions for next generation high performance computing designs,synopsys inc.,1,1,1,SNPS,1,"Synopsys, Inc. (NASDAQ: SNPS) today announced it has acquired Qualtera, a fast-growing provider of collaborative high-performance, big data analytics for semiconductor test and manufacturing. Qualtera's advanced analytics technology, combined with the industry-leading Synopsys Yield Explorer® design-centric yield management solution and Synopsys TestMAX™ test automation solution, provides the foundation for improving the process of using silicon measurements to guide improvements throughout a device's development and manufacturing lifecycle. This unique combination enables a post-silicon optimization solution that is key to maximizing efficiencies from design all the way to device shipment.","10 Jun, 2020",,
0.888888889,1,1,dell technologies expands multi cloud experiences across cyber recovery data analytics and partner ecosystem,dell technologies telecom software and solutions speed 5g and open ran innovation,dell technologies solar community hubs bring technology healthcare workforce skills to remote communities,dell technologies,1,1,1,DELL,1,"Use adaptive analytics, scan metadata and complete files, and implement machine learning and forensic tools to detect, diagnose and speed data recovery.","02 May, 2022",,
0.888888889,1,1,boston scientific announces six finalists in 2nd annual connected patient challenge focused on healthcare data analytics,boston scientific announces restructuring program to support long term growth and innovation,boston scientific launches directsense technology,boston scientific corporation,1,1,1,BSX,0,"Boston Scientific Corporation (NYSE: BSX) today announced six finalists in its second annual Connected Patient Challenge, an open competition focused on turning big data into actionable intelligence that optimizes patient care and healthcare efficiency. The event was developed in collaboration with the physician interactive platform, Medstro, to foster meaningful innovation that solves today's multifaceted healthcare challenges.","03 Mar, 2017",It is a competition,
0.888888889,0.636363636,0.4,micro focus launches idol law enforcement media analytics lema solution,micro focus announces voltage securedata integration with snowflake to provide secure analytics with data privacy and protection,micro focus set for flagship customer event micro focus universe 2021  delivering high tech low drama to 40 000 customers worldwide,micro focus,1,0,0,MFGP,1,"Micro Focus (LSE: MCRO; NYSE: MFGP) – today announced the launch of IDOL Law Enforcement Media Analysis, a digital video and image forensics solution for law enforcement and intelligence organizations. Investigators can extract, classify, organize, share results, and index key facts from body cameras, dash cams, CCTV systems, digital documents, in addition to broadcast media, web, social media sources with increasing efficiency while meeting evidential standards. LEMA provides multiple and extendable analytics for Person, Object, Location, and Event (POLE) facts that officers and intelligence agents can interactively validate, providing increased efficiency in processing the evidence in real-time investigations. ","11 Nov, 2021",,
0.888888889,1,1,bengaluru international airport limited signs agreement with unisys for business intelligence and advanced data analytics platform designed to personalize and improve the passenger experience,unisys names dwayne l allen as chief technology officer and senior vice president solution innovation and architecture,unisys growing global leadership in digital workplace of the future solutions recognized by leading technology advisory firm isg,unisys corporation,1,1,1,UIS,0,"Unisys Corporation (NYSE: UIS) today announced that it has entered into an agreement with Bangalore International Airport Limited (BIAL) – operators of Kempegowda International Airport, Bengaluru – to develop an Analytics Center of Excellence.","25 Sep, 2018",UIS is a provider,
0.888888889,1,0.3,mmc bolsters data and performance analytics group with the addition of dr joshua wu,marina maher communications elevates chief innovation officer rema vasan to president,marina maher communications names olga fleming global president of mmc and rxmosaic,marina maher communications,1,1,0,"OMC, missing",1,"NEW YORK, Jan. 26, 2022 /PRNewswire/ -- Today, Marina Maher Communications (MMC) announced the hire of Joshua Wu, PhD., as Senior Vice President, Performance Analytics. Joining MMC from Edelman Data & Intelligence, Wu will report to Chief Strategy Officer Amy Inzanti and is responsible for expanding the agency's robust predictive and performance analytics capabilities. With a future-forward approach to help clients solve their biggest communications challenges, his extensive expertise will drive both MMC and the industry towards an analytics-first mindset in a rapidly evolving digital landscape.MMC is a part of the Omnicom Public Relations Group.
","26 Jan, 2022",MMC is a part of the Omnicom Public Relations Group.,
0.888888889,1,1,boeing debuts new analytics mro capabilities at mro americas,boeing to focus on safety innovation and partnerships at 2019 dubai airshow,boeing to highlight sustainability technology and partnerships at singapore airshow 2022,boeing,1,1,1,BA,1,"or the first time at the MRO Americas Conference and Exhibition, Boeing [NYSE: BA] is announcing five new products and services across its services portfolios, all geared towards continuing enhanced digital transformation and MRO value improvement.","10 Apr, 2018",,
0.888888889,0.909090909,1,shareholder alert bronstein gewirtz  grossman llc announces investigation of helios and matheson analytics inc hmny,shareholder alert bronstein gewirtz  grossman llc notifies investors of class action against health insurance innovations inc hiiq  lead plaintiff deadline november 10 2017,bronstein gewirtz  grossman llc notifies embark technology inc fka northern genesis acquisition corp ii embk embkw ngabu ngab ngab ws investors of class action and encourages investors to contact the firm,bronstein gewirtz  grossman llc,1,1,1,,0,The investigation concerns whether Helios and Matheson and certain of its,"30, July, 2018",,
0.888888889,0.8,1,pratt  whitney announces new enginewise data analytics capabilities for v2500 engines,advanced turbine engine company selected to demonstrate innovative capability for future vertical lift helicopters,pratt  whitney canada advances sustainable hybrid electric propulsion technology contributing to canadas green recovery plan,pratt  whitney,1,0,1,"UTX, missing",1,"Pratt & Whitney, a division of United Technologies Corp. (NYSE: UTX), today announced that it has launched new data analytics capabilities for its V2500 engines as a result of achieving a supplemental type certificate for the Airbus A321 aircraft powered by the V2500 engine.","05 Feb, 2018",,
0.888888889,1,0.692307692,jacobs acquires mobility analytics leader streetlight data inc,jacobs continues leadership in delivering technological innovation for fusion energy,jacobs continues leadership in delivering technological innovation for fusion energy,jacobs,1,1,0,"J, missing",1,"Jacobs (NYSE:J) announced today it has acquired StreetLight Data, Inc. (""StreetLight""), a pioneer of mobility analytics who uses its vast data and machine learning resources to shed light on mobility, enabling users to solve complex transportation problems. The addition of StreetLight accelerates Jacobs' strategy in growing its end-to-end digital solutions portfolio and focus on ESG, while adding high growth, highly recurring revenue software businesses that offer tremendous value for its clients and the communities they serve.","07 Feb, 2022",,
0.888888889,1,1,shareholder alert weisslaw llp investigates helios and matheson analytics inc,shareholder alert weisslaw llp investigates ts innovation acquisitions corp,shareholder alert weisslaw llp investigates aspen technology inc,weisslaw llp,1,1,1,,0,"WeissLaw LLP, a national class action, shareholder rights law firm with offices in New York, Los Angeles, and Atlanta, announces an investigation of Helios and Matheson Analytics Inc. (the ""Company"" or ""HMNY"") (NASDAQ: HMNY), its Board of Directors, and certain Company officers, for among other things, possible breaches of fiduciary duty and violations of Federal and State laws.","06 Sep, 2018",,
0.888888889,1,1,ketchum hires april scott as managing director to lead digital social and analytics integration in north america,innovation is more than a buzzword  consumers are willing to pay 21 more for innovative brands,new data exposes reputational chasm between love for technology products and growing concern about technology business practices,ketchum,1,1,1,"OMC, missing",1,"Leading global communications consultancy Ketchum today announced the appointment of April Scott as managing director of digital, social and analytics integration for North America.  For more information on Ketchum, a part of Omnicom Public Relations Group, visit maintenance-ketchum-global.pantheonsite.io.
","21, Feb, 2019","For more information on Ketchum, a part of Omnicom Public Relations Group",
