vid,actor_action_label,start_time,end_time,height,width,num_frames,num_labeled_frames,split_no,split,fids
0E_IgPIOESA,55,00:00:02,00:00:10,320,426,200,3,0,train,00033;;;00066;;;00099
0Iah8AZLEmc,48,00:01:52,00:02:00,320,426,240,3,0,train,00040;;;00080;;;00120
0KyLZWRC5-M,43,00:00:00,00:00:05,320,568,151,5,0,train,00025;;;00050;;;00075;;;00100;;;00125
0LDJX4duVRU,72,00:00:00,00:00:01,320,564,31,3,0,train,00005;;;00010;;;00015
0MaD7Ltqccs,28,00:00:02,00:00:10,320,568,240,3,0,train,00040;;;00080;;;00120
0NPlxaSbrGc,77,00:00:05,00:00:13,320,568,240,3,0,train,00040;;;00080;;;00120
0OJCvoN10DQ,16,00:00:28,00:00:32,320,426,79,3,0,train,00013;;;00026;;;00039
0PK3U0K7AzE,63,00:00:10,00:00:15,320,426,150,3,0,train,00025;;;00050;;;00075
0PL3ioahHLo,22,00:00:51,00:00:59,320,568,240,3,0,train,00040;;;00080;;;00120
0QCmP0CebB8,46,00:00:19,00:00:24,320,426,150,3,0,train,00025;;;00050;;;00075
0QJt7pXOnRk,28,00:00:06,00:00:10,320,568,120,3,0,train,00020;;;00040;;;00060
0RHlQdSs61U,22,00:00:01,00:00:09,320,426,240,3,0,train,00040;;;00080;;;00120
0RI2dViYmXU,46,00:00:12,00:00:17,320,426,75,3,0,train,00012;;;00024;;;00036
0RRW86v4Z08,46,00:00:14,00:00:17,320,426,91,3,0,train,00015;;;00030;;;00045
0S0aQ0GArRc,36,00:00:00,00:00:08,320,426,241,3,0,train,00040;;;00080;;;00120
0T0Cm9oK5bg,21,00:00:13,00:00:21,320,568,241,3,0,train,00040;;;00080;;;00120
0T3qMnUyB4s,65,00:00:26,00:00:31,320,568,151,5,0,train,00025;;;00050;;;00075;;;00100;;;00125
0VFPCin4ENA,63,00:00:18,00:00:26,320,568,200,3,0,train,00033;;;00066;;;00099
0Wd6E1JOmsg,54,00:00:54,00:00:56,320,426,60,5,0,train,00010;;;00020;;;00030;;;00040;;;00050
0ZE2_SbdGWY,13,00:06:46,00:06:52,320,426,145,3,0,train,00024;;;00048;;;00072
0b_KrJf9uic,17,00:01:38,00:01:41,320,568,75,3,0,train,00012;;;00024;;;00036
0cOr5_ECxvU,67,00:00:04,00:00:07,320,568,90,3,0,train,00015;;;00030;;;00045
0cbbqMbMJyc,56,00:00:29,00:00:32,320,426,91,3,0,train,00015;;;00030;;;00045
0ckDwjPokW0,11,00:02:44,00:02:51,320,568,211,3,0,train,00035;;;00070;;;00105
0d4sHcxidUY,41,00:00:40,00:00:45,320,426,125,3,0,train,00020;;;00040;;;00060
0dOR4MkwTw4,41,00:00:02,00:00:06,320,426,120,3,0,train,00020;;;00040;;;00060
0deYp3CHiPw,12,00:00:08,00:00:14,320,568,180,3,0,train,00030;;;00060;;;00090
0dgHAuoJKQY,77,00:01:20,00:01:25,320,568,150,3,0,train,00025;;;00050;;;00075
0eWa5F6SCMs,61,00:00:00,00:00:03,320,426,45,3,0,train,00007;;;00014;;;00021
0fdFCrYbjcg,67,00:00:01,00:00:08,320,568,210,3,0,train,00035;;;00070;;;00105
0fnwII_b3S4,61,00:00:27,00:00:31,320,426,121,2,0,train,00040;;;00060
0gZz8hESBEs,18,00:01:05,00:01:08,320,568,72,3,0,train,00012;;;00024;;;00036
0iO3tegfR4g,45,00:00:38,00:00:45,320,568,210,3,0,train,00035;;;00070;;;00105
0kKLgSTkCEo,16,00:00:11,00:00:13,320,426,50,3,0,train,00008;;;00016;;;00024
0kiaG1wDovo,55,00:00:26,00:00:33,320,568,211,3,0,train,00035;;;00070;;;00105
0l3iPKBLsqs,55,00:00:25,00:00:30,320,426,104,3,0,train,00017;;;00034;;;00051
0lb6hfFvsZw,12,00:05:22,00:05:25,320,568,75,3,0,train,00012;;;00024;;;00036
0likA4G9N-g,48,00:01:47,00:01:50,320,568,75,3,0,train,00012;;;00024;;;00036
0m1O4YzBGyo,26,00:00:00,00:00:06,320,568,181,3,0,train,00030;;;00060;;;00090
0nCVIRgUItY,13,00:00:25,00:00:33,320,426,240,3,0,train,00040;;;00080;;;00120
0sUGeVNVSeQ,21,00:00:10,00:00:18,320,426,240,3,0,train,00040;;;00080;;;00120
0smdUX75h0Q,72,00:00:20,00:00:28,320,426,240,3,0,train,00040;;;00080;;;00120
0syY70eRHKs,13,00:01:05,00:01:08,320,568,72,3,0,train,00012;;;00024;;;00036
0xFmIZNNPbQ,68,00:00:00,00:00:04,320,426,121,3,0,train,00020;;;00040;;;00060
0zl1Y8lhSYk,35,00:00:34,00:00:38,320,568,120,5,0,train,00020;;;00040;;;00060;;;00080;;;00100
1-Q_DaH8Clw,55,00:01:02,00:01:08,320,568,180,3,0,train,00030;;;00060;;;00090
10MoANXh4LE,55,00:00:13,00:00:21,320,426,241,3,0,train,00040;;;00080;;;00120
10XCfvnVUL0,56,00:00:08,00:00:11,320,568,90,3,0,train,00015;;;00030;;;00045
11fN5sykj2I,66,00:00:05,00:00:11,320,426,180,3,0,train,00030;;;00060;;;00090
129w7Et1Xnw,43,00:00:02,00:00:08,320,426,144,3,0,train,00024;;;00048;;;00072
14gWirURq6I,22,00:01:24,00:01:25,320,568,24,3,0,train,00004;;;00008;;;00012
157RAPLxUpQ,17,00:01:07,00:01:10,320,480,90,3,0,train,00015;;;00030;;;00045
15s9dCWCMwQ,61,00:00:01,00:00:04,320,426,90,3,0,train,00015;;;00030;;;00045
1926p23ooUM,35,00:00:08,00:00:13,320,568,150,3,0,train,00025;;;00050;;;00075
19dJTBEjS8Q,17,00:00:03,00:00:05,320,426,60,3,0,train,00010;;;00020;;;00030
1Am_eZhq0wg,35,00:00:26,00:00:32,320,480,181,3,0,train,00030;;;00060;;;00090
1DIeaJqt6bU,65,00:00:00,00:00:03,320,568,91,3,0,train,00015;;;00030;;;00045
1DX-aZNP5NQ,57,00:00:17,00:00:20,320,568,75,3,0,train,00012;;;00024;;;00036
1FNCqCO9u5c,36,00:00:00,00:00:03,320,426,60,3,0,train,00010;;;00020;;;00030
1Fmmpda6-Z8,34,00:00:15,00:00:17,320,426,61,3,0,train,00010;;;00020;;;00030
1HZMPK3bwqE,75,00:00:06,00:00:14,320,480,240,3,0,train,00040;;;00080;;;00120
1Ia-xwNoFHE,13,00:00:35,00:00:40,320,436,150,3,0,train,00025;;;00050;;;00075
1J04SrAbtcg,11,00:01:25,00:01:27,320,426,60,3,0,train,00010;;;00020;;;00030
1KuItO3ZqaM,72,00:00:10,00:00:14,320,568,120,3,0,train,00020;;;00040;;;00060
1LdhIsz6INQ,34,00:00:00,00:00:08,320,568,241,3,0,train,00040;;;00080;;;00120
1LigKS2VHiw,61,00:00:20,00:00:26,320,568,150,3,0,train,00025;;;00050;;;00075
1MV4W0BrsLo,46,00:00:03,00:00:06,320,426,75,3,0,train,00012;;;00024;;;00036
1PgcxZ7uopY,22,00:00:00,00:00:08,320,568,241,3,0,train,00040;;;00080;;;00120
1Qljiu90ePc,75,00:00:01,00:00:04,320,426,75,3,0,train,00012;;;00024;;;00036
1RP7TSzEk7w,72,00:00:14,00:00:19,320,564,151,5,0,train,00025;;;00050;;;00075;;;00100;;;00125
1TY6VJH-wqY,55,00:00:02,00:00:10,320,568,240,3,0,train,00040;;;00080;;;00120
1VkVlYIbMP4,68,00:02:24,00:02:31,320,568,175,3,0,train,00029;;;00058;;;00087
1X11t4cb8Jg,12,00:00:05,00:00:10,320,564,150,3,0,train,00025;;;00050;;;00075
1_IQZrTz5Hw,28,00:00:54,00:00:59,320,568,125,3,0,train,00020;;;00040;;;00060
1bZde3PaFW0,16,00:01:46,00:01:49,320,568,72,3,0,train,00012;;;00024;;;00036
1dBH-ukFdc0,73,00:01:03,00:01:08,320,426,75,3,0,train,00012;;;00024;;;00036
1dImlUKb_vM,36,00:00:01,00:00:06,320,426,150,5,0,train,00025;;;00050;;;00075;;;00100;;;00125
1dpdGHv8hHU,72,00:00:04,00:00:10,320,568,180,3,0,train,00030;;;00060;;;00090
1f19vXJMH44,54,00:00:08,00:00:11,320,568,75,3,0,train,00012;;;00024;;;00036
1fjyjBE5YMU,15,00:00:37,00:00:43,320,426,180,3,0,train,00030;;;00060;;;00090
1jPMMju2RD8,66,00:00:01,00:00:07,320,568,180,5,0,train,00030;;;00060;;;00090;;;00120;;;00150
1kpyM0I-0B4,21,00:00:07,00:00:15,320,426,240,3,0,train,00040;;;00080;;;00120
1nb-YMwqwW8,11,00:01:20,00:01:23,320,570,75,3,0,train,00012;;;00024;;;00036
1nbDNSCrkVs,48,00:00:03,00:00:08,320,426,150,3,0,train,00025;;;00050;;;00075
1ov49K5aU6I,41,00:00:22,00:00:30,320,426,240,3,0,train,00040;;;00080;;;00120
1qErZkpB6iA,48,00:00:00,00:00:05,320,426,151,5,0,train,00025;;;00050;;;00075;;;00100;;;00125
1uBxI_52CGM,76,00:00:00,00:00:06,320,426,181,3,0,train,00030;;;00060;;;00090
1x32ooqnDs0,73,00:00:00,00:00:06,320,426,181,3,0,train,00030;;;00060;;;00090
1xRPT8Gfj_E,22,00:00:01,00:00:07,320,426,180,5,0,train,00030;;;00060;;;00090;;;00120;;;00150
20LJtpiuLYE,22,00:00:00,00:00:06,320,568,90,3,0,train,00015;;;00030;;;00045
20WmxUkD88c,75,00:00:07,00:00:10,320,568,90,3,0,train,00015;;;00030;;;00045
20_siizMMEU,77,00:01:08,00:01:11,320,426,90,3,0,train,00015;;;00030;;;00045
20iKj52b85Q,68,00:00:00,00:00:06,320,564,179,3,0,train,00029;;;00058;;;00087
21nY-4v59-A,28,00:00:00,00:00:03,320,564,91,3,0,train,00015;;;00030;;;00045
24uNGOMZqvU,11,00:00:34,00:00:42,320,564,192,3,0,train,00032;;;00064;;;00096
25_fIVYBm3s,67,00:00:28,00:00:36,320,426,241,3,0,train,00040;;;00080;;;00120
26lH0mg_i94,46,00:00:33,00:00:36,320,568,90,3,0,train,00015;;;00030;;;00045
278HDxtYxn0,54,00:01:33,00:01:39,320,426,180,3,0,train,00030;;;00060;;;00090
27SMSDGvyKk,21,00:00:08,00:00:16,320,426,240,3,0,train,00040;;;00080;;;00120
28RUzMv5W40,26,00:00:45,00:00:53,320,426,241,3,0,train,00040;;;00080;;;00120
28yqDUz6WPw,72,00:00:07,00:00:13,320,426,180,3,0,train,00030;;;00060;;;00090
2Av_6yKYM84,22,00:03:15,00:03:18,320,568,76,3,0,train,00012;;;00024;;;00036
2DWN3ip-3bU,43,00:00:32,00:00:35,320,568,75,3,0,train,00012;;;00024;;;00036
2EJPCxODQcI,36,00:00:04,00:00:08,320,568,120,2,0,train,00040;;;00060
2EQCNAOMqNY,72,00:00:35,00:00:38,320,400,75,3,0,train,00012;;;00024;;;00036
2Fa2hO60kM0,65,00:00:53,00:00:59,320,426,150,5,0,train,00025;;;00050;;;00075;;;00100;;;00125
2H2MW8Mx_Pc,21,00:00:10,00:00:16,320,426,180,3,0,train,00030;;;00060;;;00090
2I8KjBvZaBY,17,00:00:35,00:00:38,320,568,90,3,0,train,00015;;;00030;;;00045
2JYGqNacyBo,28,00:00:08,00:00:13,320,568,150,3,0,train,00025;;;00050;;;00075
2KciBrsCKEU,21,00:00:00,00:00:06,320,568,181,3,0,train,00030;;;00060;;;00090
2LDFWm4z3As,54,00:00:03,00:00:06,320,568,90,3,0,train,00015;;;00030;;;00045
2Mvpyv1Q9OA,75,00:01:22,00:01:24,320,426,60,3,0,train,00010;;;00020;;;00030
2RqQgW-h0PA,46,00:01:31,00:01:34,320,568,90,3,0,train,00015;;;00030;;;00045
2S-5f_0DEGo,18,00:00:15,00:00:20,320,426,151,5,0,train,00025;;;00050;;;00075;;;00100;;;00125
2S1bLRzMoMQ,16,00:00:02,00:00:07,320,568,150,3,0,train,00025;;;00050;;;00075
2VhgGur_QLQ,55,00:00:02,00:00:07,320,580,150,3,0,train,00025;;;00050;;;00075
2W1FphxgQFY,54,00:00:35,00:00:38,320,426,45,3,0,train,00007;;;00014;;;00021
2Z_MueLTkU4,21,00:00:14,00:00:22,320,568,241,3,0,train,00040;;;00080;;;00120
2ZibDCWq4H8,28,00:00:03,00:00:09,320,568,180,3,0,train,00030;;;00060;;;00090
2c-jWclrVN8,46,00:00:27,00:00:34,320,436,99,3,0,train,00016;;;00032;;;00048
2cHtVc70If4,65,00:01:07,00:01:15,320,568,240,5,0,train,00040;;;00080;;;00120;;;00160;;;00200
2cR343qUMmU,36,00:00:22,00:00:27,320,426,150,3,0,train,00025;;;00050;;;00075
2e8_DZ0z8HE,41,00:00:10,00:00:18,320,426,240,3,0,train,00040;;;00080;;;00120
2ejL51qnSTc,61,00:00:01,00:00:04,320,426,90,3,0,train,00015;;;00030;;;00045
2etAQ9gzKo4,66,00:01:28,00:01:34,320,426,181,5,0,train,00030;;;00060;;;00090;;;00120;;;00150
2gpNBrZW8yg,66,00:00:08,00:00:18,320,568,300,3,0,train,00050;;;00100;;;00150
2jmySqjF9vM,44,00:00:13,00:00:21,320,568,241,3,0,train,00040;;;00080;;;00120
2mIriLBSlco,77,00:00:33,00:00:37,320,568,100,3,0,train,00016;;;00032;;;00048
2mM1IRHn090,56,00:03:37,00:03:40,320,568,90,3,0,train,00015;;;00030;;;00045
2mTpW3518iE,65,00:00:00,00:00:03,320,426,28,3,0,train,00004;;;00008;;;00012
2m_deenn9Bo,35,00:00:59,00:01:06,320,568,211,3,0,train,00035;;;00070;;;00105
2oNJan-y5cI,55,00:01:22,00:01:25,320,400,75,3,0,train,00012;;;00024;;;00036
2sDrR3lOWPY,16,00:00:42,00:00:47,320,564,125,5,0,train,00020;;;00040;;;00060;;;00080;;;00100
2svqS5sQVRw,55,00:00:19,00:00:22,320,568,90,3,0,train,00015;;;00030;;;00045
2uwn-cDwpsM,55,00:00:17,00:00:22,320,568,150,3,0,train,00025;;;00050;;;00075
2vTxnuWuc4E,16,00:00:02,00:00:09,320,568,210,3,0,train,00035;;;00070;;;00105
2zH86XBZW9M,57,00:00:00,00:00:04,320,558,121,3,0,train,00020;;;00040;;;00060
30y8Uy0B_uk,11,00:01:08,00:01:15,320,568,168,5,0,train,00028;;;00056;;;00084;;;00112;;;00140
331z2cA-Q10,78,00:00:34,00:00:37,320,568,75,3,0,train,00012;;;00024;;;00036
33H-fW0qi6s,46,00:00:00,00:00:08,320,568,241,3,0,train,00040;;;00080;;;00120
33o3ffNNEHU,76,00:00:25,00:00:30,320,426,150,5,0,train,00025;;;00050;;;00075;;;00100;;;00125
34Z-fOOeWD8,72,00:00:07,00:00:10,320,426,42,3,0,train,00007;;;00014;;;00021
3596FFQZfwo,73,00:00:30,00:00:35,320,568,151,3,0,train,00025;;;00050;;;00075
35gSAMyMiC0,21,00:00:22,00:00:26,320,426,120,3,0,train,00020;;;00040;;;00060
36cQGW1yY7M,28,00:07:34,00:07:42,320,568,192,3,0,train,00032;;;00064;;;00096
36ox3vTtDJ4,35,00:00:05,00:00:08,320,568,90,3,0,train,00015;;;00030;;;00045
37A0J9SX6jg,12,00:00:13,00:00:17,320,568,121,5,0,train,00020;;;00040;;;00060;;;00080;;;00100
37IpwlB12CA,16,00:00:07,00:00:13,320,426,180,3,0,train,00030;;;00060;;;00090
3Ai-kolEWo8,66,00:00:18,00:00:22,320,568,96,3,0,train,00016;;;00032;;;00048
3Cazuwx_IyA,34,00:02:46,00:02:53,320,568,210,3,0,train,00035;;;00070;;;00105
3CcQVREqgPM,36,00:00:02,00:00:08,320,426,180,3,0,train,00030;;;00060;;;00090
3CfyKqIHoZI,65,00:00:11,00:00:15,320,568,121,3,0,train,00020;;;00040;;;00060
3CsZEY1TWNs,45,00:00:08,00:00:11,320,568,72,3,0,train,00012;;;00024;;;00036
3DQA-gR25aU,17,00:01:22,00:01:25,320,568,45,3,0,train,00007;;;00014;;;00021
3F0miIJOpVM,34,00:01:15,00:01:19,320,426,121,3,0,train,00020;;;00040;;;00060
3GEsLoeltAs,76,00:00:02,00:00:05,320,426,45,3,0,train,00007;;;00014;;;00021
3HSt4zAk500,61,00:00:05,00:00:13,320,426,120,3,0,train,00020;;;00040;;;00060
3OL8ka2qRjw,43,00:00:01,00:00:09,320,426,240,3,0,train,00040;;;00080;;;00120
3OtYVbDsbl4,76,00:00:02,00:00:07,320,426,101,3,0,train,00016;;;00032;;;00048
3Ouf2rVTT_U,17,00:08:40,00:08:43,320,568,90,3,0,train,00015;;;00030;;;00045
3QlWEqI_VmI,44,00:00:02,00:00:05,320,480,90,3,0,train,00015;;;00030;;;00045
3SKyc0aKx70,15,00:01:06,00:01:12,320,568,150,3,0,train,00025;;;00050;;;00075
3SRV3qqUkMk,56,00:00:54,00:00:57,320,480,90,3,0,train,00015;;;00030;;;00045
3U3rWowWV38,76,00:01:59,00:02:03,320,568,101,3,0,train,00016;;;00032;;;00048
3W4aL4r3NQg,21,00:00:02,00:00:08,320,532,180,3,0,train,00030;;;00060;;;00090
3WQSG8hqaKA,54,00:00:10,00:00:13,320,426,90,3,0,train,00015;;;00030;;;00045
3Xb7MttBGtc,28,00:00:01,00:00:05,320,426,120,3,0,train,00020;;;00040;;;00060
3YK4apSy4no,61,00:00:05,00:00:11,320,568,180,3,0,train,00030;;;00060;;;00090
3bbN_4bq6Xc,16,00:00:00,00:00:03,320,426,91,3,0,train,00015;;;00030;;;00045
3gGT-k9RMRc,73,00:00:00,00:00:08,320,426,241,3,0,train,00040;;;00080;;;00120
3gbe-0L9yiA,77,00:00:08,00:00:14,320,568,144,3,0,train,00024;;;00048;;;00072
3jIojfAMv_M,26,00:00:49,00:00:54,320,426,125,3,0,train,00020;;;00040;;;00060
3jiGoLRFnJY,76,00:00:11,00:00:17,320,426,181,3,0,train,00030;;;00060;;;00090
3kntCqeudw0,54,00:01:02,00:01:05,320,568,72,5,0,train,00012;;;00024;;;00036;;;00048;;;00060
3mX_Jd-Buac,72,00:00:14,00:00:17,320,568,45,3,0,train,00007;;;00014;;;00021
3nrmzQRSA9E,54,00:00:10,00:00:13,320,568,90,3,0,train,00015;;;00030;;;00045
3pcBcmE8BlQ,45,00:00:11,00:00:15,320,568,100,3,0,train,00016;;;00032;;;00048
3pv6hzphecU,21,00:00:02,00:00:07,320,568,120,3,0,train,00020;;;00040;;;00060
3ur7UqCDaVU,45,00:00:40,00:00:42,320,480,60,3,0,train,00010;;;00020;;;00030
3vWwbS4yslg,11,00:00:29,00:00:33,320,568,101,3,0,train,00016;;;00032;;;00048
3w-Jn2DNiLo,21,00:00:08,00:00:16,320,480,240,5,0,train,00040;;;00080;;;00120;;;00160;;;00200
3wG7GhHBspI,11,00:00:07,00:00:14,320,580,210,5,0,train,00035;;;00070;;;00105;;;00140;;;00175
3z75155Qh0I,75,00:00:01,00:00:05,320,568,120,3,0,train,00020;;;00040;;;00060
3zmjFdWEYCg,22,00:01:28,00:01:33,320,568,151,3,0,train,00025;;;00050;;;00075
40N9GKNzkpE,68,00:00:08,00:00:15,320,568,210,3,0,train,00035;;;00070;;;00105
41Q3PJYW-e4,22,00:00:06,00:00:12,320,426,180,3,0,train,00030;;;00060;;;00090
42vGy77iTwM,48,00:00:09,00:00:11,320,568,50,3,0,train,00008;;;00016;;;00024
45H1pUXQXos,56,00:00:07,00:00:10,320,426,75,5,0,train,00012;;;00024;;;00036;;;00048;;;00060
45hI5NIGjoM,72,00:00:07,00:00:10,320,426,31,3,0,train,00005;;;00010;;;00015
45jD2spRMJs,41,00:00:14,00:00:23,320,568,271,3,0,train,00045;;;00090;;;00135
46sfTmrOT2E,56,00:00:34,00:00:38,320,426,120,5,0,train,00020;;;00040;;;00060;;;00080;;;00100
47ZD2oiCcZ8,22,00:00:16,00:00:18,320,568,60,3,0,train,00010;;;00020;;;00030
49CA1JH-fTw,73,00:00:00,00:00:05,320,426,151,3,0,train,00025;;;00050;;;00075
4Ak0n2EzphI,61,00:00:13,00:00:17,320,568,121,5,0,train,00020;;;00040;;;00060;;;00080;;;00100
4DIsfDhf-U8,45,00:01:20,00:01:24,320,568,120,3,0,train,00020;;;00040;;;00060
4HH2NsDWPEc,15,00:00:00,00:00:04,320,480,119,3,0,train,00019;;;00038;;;00057
4KSYpcSrKSE,15,00:00:16,00:00:18,320,568,50,3,0,train,00008;;;00016;;;00024
4O8mr9iSBdw,17,00:04:33,00:04:36,320,426,90,3,0,train,00015;;;00030;;;00045
4PcL6-mjRNk,77,00:00:43,00:00:49,320,426,181,3,0,train,00030;;;00060;;;00090
4QrlPmK4B94,17,00:00:11,00:00:17,320,568,181,3,0,train,00030;;;00060;;;00090
4QrvLoxFAM4,11,00:02:30,00:02:35,320,568,121,3,0,train,00020;;;00040;;;00060
4RdXzesRzvw,67,00:00:47,00:00:53,320,568,180,5,0,train,00030;;;00060;;;00090;;;00120;;;00150
4URaexb9uDw,43,00:04:11,00:04:17,320,568,150,3,0,train,00025;;;00050;;;00075
4Ufh1Mwv1rI,57,00:00:46,00:00:50,320,568,96,3,0,train,00016;;;00032;;;00048
4VrkTnjB6j0,21,00:00:18,00:00:24,320,568,180,3,0,train,00030;;;00060;;;00090
4WOut2ptwWc,75,00:00:15,00:00:19,320,568,121,3,0,train,00020;;;00040;;;00060
4_36zVJDHe0,41,00:00:02,00:00:06,320,426,120,3,0,train,00020;;;00040;;;00060
