Company,related_paragraphs,Ticker,title
Dean Foods,"""ACL's internal control analytics software has been a great help as we automate our processes and streamline critical systems,"" said Chris Jackson, User Provisioning Process Owner at Dean Foods. ""We've been able to improve efficiency in meeting Sarbanes-Oxley IT control requirements and drastically cut time spent on manual analysis of privileged user activities.""

As a result of the implementation, Dean Foods has gained assurance that controls operate effectively to mitigate risk. By enabling access to and analysis of data from any source, the company can now efficiently monitor user access activity across every company system. In addition, the use of ACL technology has assisted the company in successfully passing a full-year SOX IT User Provisioning audit.",DF,Dean Foods® Uses ACL to Automate Sarbanes-Oxley Compliance Processes and Reduce Third-Party Audit Costs by 50%;ACL(TM) Analytics Exchange Enables Continuous Monitoring Across Merged Enterprises
CenterPoint Energy,"Accenture (NYSE:ACN) and SAP SE (NYSE:SAP) have been selected by CenterPoint Energy to design, test and implement an asset analytics solution that supports CenterPoint Energy's strategy of integrating information technology (IT) with operational technology (OT). This will help improve management and maintenance of its transmission and distribution assets.   Developed by the Accenture and SAP Business Solutions Group, the IT-OT Integration Solution by Accenture and SAP for utilities is designed to combine business data (IT) with sensor data (OT), as well as external data feeds to manage the unified data model on the scalable SAP HANA® Cloud Platform.        ...             ""With deeper insight into its asset base through analytics, CenterPoint Energy would be able to enhance its decision making capability. This would allow the company to further reduce asset risk and increase the efficiency of capital and operations and maintenance spending,"" said Kathy Sanders,
",CNP,Accenture and SAP Chosen by CenterPoint Energy to Develop Asset Analytics Solution to Take Advantage of the Internet of Things; Solution will support company's integration of information technology with operational technology
Mizuho Securities ,"Broker/dealer Mizuho Securities USA (MSUSA), has implemented Xenomorph's TimeScape data and analytics management system to replace its existing market and reference data platform. The firm selected TimeScape for its ability to provide greater data model flexibility, data cost savings, and faster processing times.              Based on MSUSA's daily holdings, an ETL (SSIS) process was then implemented to standardize historical, holdings-based copy of all relevant reference data and prices across multiple stage databases, including links for easy comparison and tracing. The data can then be deployed to any downstream system using an ETL process, the TimeScape Web Service, or any TimeScape APIs including Excel, C/C++, VBA, and C#.

""Xenomorph was selected to seamlessly replace MSUSA's legacy system with TimeScape to provide a flexible and robust Security Master with integration with SSIS to reduce processing time of vendor raw files, and to cut data management costs,"" said Naj Alavi, Managing Director, Xenomorph. ""TimeScape provides MSUSA with enhanced control of its data on a centralized platform and the means to easily visualize and extract business-critical data and also a platform that will accommodate changes with ease.""",MFG,Mizuho Securities USA Implements Xenomorph TimeScape for Data Management Platform
Huntsman Corporation ,"Huntsman Corporation (NYSE:HUN) has selected Accenture (NYSE:ACN) to help improve its use of business analytics and to drive standardization and efficiency through the design and implementation of an integrated enterprise performance management system built on the SAP HANA® platform.    ...          The new solution is expected to improve the speed of reporting and will lay a foundation for better decision making. It will serve all of Huntsman's global businesses and corporate functions and will include financial consolidations, management reporting and business intelligence spanning a broad range of financial and operational processes.",HUN,Huntsman Selects Accenture to Deliver a Strategic Information Management System Built on SAP HANA® to Reduce Costs and Improve Enterprise Performance
Kindred Healthcare,"In a changing healthcare environment, Kindred is committed to investing in technology platforms that support our mission of delivering hope, healing and recovery to our patients,' said Scott Blanchette, CIO, Kindred Healthcare. 'Having real-time, comprehensive patient information across the continuum of care will better enable Kindred to improve clinical outcomes and reduce costs, and will be an invaluable resource for our hospital, physician and managed care partnerships.'                 ... 'Better understanding of our patients will best position us to meet their current and future care needs,' added Blanchette, who is driving analytic initiatives within the organization. This upgrade supports the evolving healthcare reimbursement landscape through faster data modeling capabilities and also opens the door for predictive, advanced and self-service analytics.",KND,SAP Business Warehouse Application Helps Kindred Healthcare Lead in Post-Acute Care Data Analytics
Petrobras,"Known worldwide for technological savvy, Brazilian energy giant Petrobras (NYSE:PBR) has adopted SAS® Analytics software to pinpoint areas likely to produce oil and gas. Using data-driven insights, the company intends to increase production efficiency and contribute to total resource recovery.     ... Analyzing rocks between 5 million and 150 million years old is challenging at best. Petrobras is looking to SAS to help employees manage large amounts of data and make better decisions about major projects.",PBR,"Petrobras chooses SAS® Analytics to grow energy business; Analytics leader SAS helping with expansion, profit and productivity"
First Horizon National Corp,"PRWeb) - Kiran Analytics Inc., a leader in intelligent branch transformation for retail banks, announced today that Memphis-based First Tennessee Bank licensed its workforce optimization platform.

Kiran Analytics offers innovative workforce planning, talent acquisition and labor scheduling solutions driven by predictive analytics. The solution will help First Tennessee Bank improve customer experience, revenue growth and operational expense in its 180-branch network. Using Kirans workforce optimization software, First Tennessee will be able to make better and faster decisions about properly staffing the branches and achieving target service levels at the same time.",FHN,First Tennessee Chooses Kiran Analytics Optimization Platform
Selective Insurance Group,"The Clearwater system will provide Selective with:

•Timely aggregation of investment data from multiple sources;
•Daily reconciliation and validation of all cash, positions, and security master file data;
•Automated and flexible NAIC disclosure support;
•Investment accounting for STAT, GAAP, Tax, and other accounting bases;
•Automated general ledger entries; and
•A world-class client services team providing proactive industry expertise.
""We are excited to partner with Selective to help streamline and automate their investment accounting and reporting processes,"" said Scott Erickson, Chief Operating Officer at Clearwater Analytics. ""Their team is knowledgeable, forward-looking, and hardworking-a great fit with how we do things at Clearwater.""",SIGI,Selective Insurance Chooses Clearwater Analytics for Automated Investment Accounting and Reporting; Top-Rated Insurance Organization Optimizes Investment Data Processes with Clearwater's Best-In-Class Solution
Emerson,"Vision Chain's comprehensive solution will support ClosetMaid's diverse requirements in areas of sales, promotional analysis, category management, supply chain control, and in-store retail execution. Continuous analysis of consumption data will create immediately relevant and actionable guidance for category management, sales, demand forecasting, retail operations, and financial planning.

ClosetMaid's products are available at most home improvement retailers and from an extensive network of installing dealers throughout the home building industry.

""We're very pleased that ClosetMaid chose to partner with Vision Chain to continue building on innovation and industry best practices in demand data analytics,"" said Kevin McCurdy, Vice President of Sales at Vision Chain. ""Optimizing the use of demand data will create the visibility ClosetMaid seeks to make faster, more informed decisions throughout their retail spectrum.""",EMR,"Vision Chain SaaS Solution Chosen by ClosetMaid to Enhance Sales & Category Management; Advanced Analytics to deliver in depth, On-demand Data for ClosetMaid in Home Improvement Channel"
American Eagle Outfitters,"TeradataCorporation (NYSE:   TDC), the global leader in   enterprise data warehousingand enterprise analytics, announced today that   American Eagle Outfitters, a leading retailer that operates more than 900 stores in the United States and Canada, has completed deployment of   Teradata Customer Relationship Management(CRM), an application portfolio for advanced marketing management. The application is supported by the Teradata database and enterprise intelligence platform.

Teradata CRM is uniquely designed to capitalize on the superior performance of theTeradata database systemto support marketing analytics, event triggers and campaign automation. The solution brings   enterprise intelligenceto the user's desktop to better enable marketers to personalize dialogues with individual customers in real time - across multiple channels such as the web, stores, mobile devices and other interaction portals.",AEO,"American Eagle Outfitters Chooses Teradata for Data Warehouse-Driven Customer Analytics, Marketing Automation"
AmerisourceBergen,"Qlik (NASDAQ: QLIK) said that AmerisourceBergen has signed an enterprise deal to extend its use of Qlik products, deploying both QlikView and Qlik Sense widely across the enterprise. With this purchase, AmerisourceBergen will be leveraging the Qlik two product strategy to address the need for guided analytics and self-service visualization across the enterprise.



AmerisourceBergen has been using QlikView since 2012 across its US Bioservices business. With more than 13,000 associates globally, the company wanted to expand its use of analytics with a solution that was scalable and provided a seamless user experience regardless of an associate's tenure. Qlik Sense opened new opportunities to extend AmerisourceBergen's data discovery practices and meet the needs of new users within the organization.",ABC,AmerisourceBergen chooses Qlik as global standard for analytics
 CenterPoint Energy,"HOUSTON AND HANNOVER, Germany - Accenture (NYSE: ACN) and SAP SE (NYSE: SAP) have been selected by CenterPoint Energy to design, test and implement an asset analytics solution that supports CenterPoint Energy's strategy of integrating information technology (IT) with operational technology (OT).     ...      CenterPoint Energy is establishing SAP HANA as a core component of its technology platform to bring together enterprise and operational data. Accenture will manage the project using its industry knowledge and business process experience in the utilities domain and providing asset analytic guidance, testing, development and systems integration services. SAP intends to develop the platform utilizing the SAP HANA platform and a prototype asset health application.",CNP,Accenture and SAP Chosen by CenterPoint Energy to Develop Asset Analytics Solution to Take Advantage of the Internet of Things
ConAgra Foods , SignalDemand® today announced thatConAgra Foods Lamb Westonhas selected SignalDemand's EnterpriseOptimizer(TM) software solution to provide additional insight into how to maximize output and visibility of its potato supply and production capacity.,CAG,ConAgra Foods Lamb Weston Chooses SignalDemand Predictive Analytics and Optimization Software for Supply Optimization
Companhia Siderurgica Nacional,"IBM (NYSE: IBM) today announced that Companhia Siderrgica Nacional (CSN), one of the largest industrial groups in Brazil, has selected IBM Power Systems and Storage to run its SAP HANA in-memory analytics applications. (Source: IBM Global Business Services)",SID,Companhia Siderurgica Nacional Chooses IBM Systems and Storage to Manage Analytics Workloads
Advanced Energy Industries ,"In seven short weeks, the Host Analytics team was able to train 150 Advanced Energy users to navigate and utilize the Host Analytics EPM Suite. After implementing the system, Advanced Energy's finance team cut time spent on planning and forecasting by 71.8 percent in the first year alone. ""Every cycle, the time-savings increase as we automate more and more of the process,"" Gerrish says. ""Because we're not bogged down with the day-to-day management of our system, we're able to work on projects directly with the business.""

Advanced Energy uses the Host Analytics suite across all levels of the organization, from the finance team to VPs. Executives use the executive reports to gain instant access to key performance drivers. They also report significant improvement in the financial team's ability to incorporate acquisitions into the planning process.",AEIS,Advanced Energy Industries Upgrades to Cloud EPM With Host Analytics; Leader in Power and Control Technologies Migrates off On-Premise Software for Greater Financial Planning Capabilities
Total SE,"GE Intelligent Platforms (NYSE: GE) today announced that TOTAL S.A., a leading global oil and gas company with operations activities in more than 50 countries, has chosen Proficy® SmartSignal for its predictive analytics and Remote Monitoring Analysis solution.



""TOTAL has a very large fleet of rotating turbo machinery,"" said Bernard Quoix, Head of Rotating Machinery for TOTAL Group. ""The objective of this solution is to constantly monitor these equipment from headquarters, or a remote base anywhere in the world, and produce appropriate alerts and alarms when abnormal running conditions are present. This will allow our maintenance and engineering teams to analyze and launch appropriate maintenance actions.""",TOT,Total S.A. Chooses GE's Proficy® Monitoring Analysis Suite to Reduce Production Losses
Tractor Supply Company ,"has kicked off a long-term planning and inventory management initiative by choosing SAS, the leader in business analytics software and services. The largest retail farm and ranch chain in the US, Tractor Supply will use SAS® analytics to better forecast customer demand and improve the performance of promotional and regular merchandise through improved inventory placement. ",TSCO,"Tractor Supply Company Plows Through Forecasting With SAS®; Retailer licenses SAS® Demand-Driven Forecasting, SAS® Visual Analytics to improve inventory efficiency"
Clear Channel Outdoor,"BOARD are pleased to confirm their latest client, Clear Channel Outdoor, one of the world's largest outdoor advertising businesses have chosen BOARD as their Business Intelligence and Performance Management solution to manage Reporting, Analytics, Dashboards, KPI's, and Forecasting",CCO,Clear Channel Outdoor selects BOARD as their Enterprise Business Analytics Solution
Sherwin-Williams,"The executive team at Sherwin-Williams knew that they needed timely information in order to effectively manage store operations. Since migrating to Netezza, data query times have dropped significantly. Moving forward, Sherwin-Williams will use Netezza for extensive reporting of data to all levels of the organization.

""As the speed of business continues to accelerate, the need for timely information is essential in making the best management decisions,"" said Emiro Uribe, Manager Systems Development at Sherwin-Williams. ""Speed and simplicity are very important to our users.""",SHW,Sherwin-Williams Accelerates Store Performance Analysis with Netezza
Unilever," the collaborative analytics cloud for retailers and consumer products companies, today announced that Unilever has selected Customer Trade Planning , a predictive trade analytics app on the DemandTec network.  The predictive app will allow Unilever to better understand consumer demand to achieve brand objectives and support a more strategic level of collaboration with retail trading partners.",UL,DemandTec: Unilever Selects DemandTec for Predictive Trade Planning in the Cloud
HMS,"Pervasive DataMatcher will augment HMS s existing inventory of data matching algorithms and methodologies to expedite analysis of New Jersey s Medicaid membership files against private insurer records, improving processing accuracy and speeding membership analysis. HMS selected the Pervasive DataRush-powered solution for its processing speed and rich functionality, said Kevin Lee, HMS Regional Vice President of Government Services. Additionally, Pervasive DataMatcher s fuzzy matching and record scoring functions will augment our existing match processes.",HMSY,United States : HMS Selects Pervasive DataMatcher to Enhance and Speed Medicaid Membership Record Matching
Cisco,"he combined solution uses predictive analytics models for in-depth account analysis to identify the most successful sales techniques, promising sales opportunities and appropriate product recommendations for customers.",CSCO,"Cisco, Siemens and VMware Running Live Digital Businesses on SAP HANA® Platform, as Customer Growth Accelerates"
Vmware,VMware uses SAP HANA to simplify IT infrastructure and to centralize seven legacy data warehouses and 15 terabytes of data into one 6 terabyte database.,VMW,"Cisco, Siemens and VMware Running Live Digital Businesses on SAP HANA® Platform, as Customer Growth Accelerates"
Hain,"""After an extensive global search, I am pleased to welcome Stephen Smith as our new Chief Financial Officer and a key member of our leadership team,"" said Irwin D. Simon, Founder, President and Chief Executive Officer of Hain Celestial.  ""Steve has an extensive background in working with consumer products companies on a global basis and brings a demonstrated ability to implement business analytics for high-performance strategic growth.  Steve is the right person to work with our management team in achieving our next level of growth.""",HAIN,Hain Celestial Announces the Appointment of Stephen J. Smith as Executive Vice President and Chief Financial Officer with the Planned Retirement of Ira J. Lamel
Cardinal Health, Nielsen (NYSE: NLSN) announced today that Cardinal Health has selected Nielsen as its primary U.S. analytics provider for retail syndicated market and panel data. ,CAH,cardinal-health-selects-nielsen-as-us-retail-analytics-provider
Maiden RE,Ameri100 will combine IoT techniques with Big Data techniques to integrate multiple sources of structured and unstructured data to offer Maiden RE a 360-degree view of its customers to enable it to drive product and service improvements and make better business decisions. The data collected will also set the groundwork for machine learning and artificial intelligence for risk assessment.,MHLD,ameri100-secures-competitive-big-data-win-with-maiden-re
Ericsson,"Going forward Ericsson will continue to invest in automation to increase network quality further and shorten lead times, while also implementing analytics to *****measure***** and enhance the subscriber experience.  Ericsson helps to create sustainable differentiation for its managed services customers by evolving from a focus on network-centric operations to user experience-centric operations, using automation and artificial intelligence. ",ERIC,mbnl-extends-managed-services-deal-with-ericsson
Con Edison,"Cognizant will be working with Con Edison to remodel its legacy technology platform by moving service management software to the cloud, implementing hyper-automation and enhancing IoT and analytics capabilities. Transforming Con Edison's service delivery capabilities will increase its operational efficiencies, enable greater agility in responding to environmental impacts and provide a more modern and improved customer experience.
",ED,Con Edison Executing New IT Vision with Cognizant to Better Serve 10 Million New Yorkers
 FMC Corporation ,"WALLDORF, Germany, Aug. 6, 2020 /PRNewswire/ -- SAP SE (NYSE: SAP) today announced aesthetic laser maker Cynosure LLC and agriculture sciences company FMC Corporation are among the latest enterprises to have either selected or gone live with SAP® SuccessFactors® solutions, part of human experience management (HXM) solutions from SAP. Despite the challenges of the global pandemic, more than 400 companies in the first half of 2020 have gone live with SAP SuccessFactors solutions.
",FMC,global-organizations-continue-to-select-sap-successfactors-solutions-to-modernize-human-resources
Thomson Reuters Corp," Additionally, Reuters editorial teams now have access to SAP Lumira software, which can be used for analytics and insight to allow journalists to explore data and easily create visual stories.  ...
          Reuters Polling Explorer — The in-memory computing power of the SAP HANA platform allows Reuters to access and analyze 100 million survey responses for quicker and more efficient reporting of public opinion. And with that, as Reuters continues to integrate SAP HANA into its workflow, it will be looking to adopt its advanced capabilities, including built-in predictive analytics, to further enhance the performance of Polling Explorer and its user experience.",TRI,SAP Partners with Reuters to Power Data Journalism in the Digital Age and Deepen U.S. Presidential Election Coverage
Old Point Financial Corporation,"Implementation of bank-wide technology and efficiency initiatives is expected to flow through 2021 with the full roll-out of a new loan origination system, upgrades to critical infrastructure software related to imaging, and implementations of a new data analytics solution, deposit origination platform, and teller systems. ",OPOF,old-point-releases-fourth-quarter-and-full-year-2020-results
Joy Global,"IBM (NYSE: IBM) and Joy Global, a worldwide leader in high-productivity mining solutions, today announced that Joy Global selected IBM Big Data and Analytics technology -- including IBM's advanced predictive analytics software and optimization solutions -- to enhance the ability of Joy Global Smart Services to improve mining machine performance, while reducing downtime and costs.  IBM will help Joy Global boost its Smart Services through the innovative design and implementation of a truly holistic Big Data and analytics solution.  About Joy Global  Joy Global Inc. ",Joy,ibm-helps-joy-global-mine-big-data-to-better-serve-customers
Companhia Siderurgica Nacional ,"""With the amount of data companies like ours are producing daily, it is critical that we have an IT infrastructure that enables us to run our analytics workloads efficiently,"" said Fabio Faria, chief information officer at CSN. ""The stability and flexibility of IBM Power Systems and storage does just that by providing a reliable system for running SAP HANA and our SAP applications.""

The combination of IBM Power Systems E880 servers running SAP HANA and IBM Storwize V5000 storage systems will enable CSN to adapt its IT infrastructure to support the company's anticipated growth. The Power Systems E880s being implemented at CSN provide memory spaces of up to 16TB on a platform designed for data analytics. The POWER8 processors in the Power Systems E880 boast four times the multithreading capability per core along with four times the memory bandwidth and cache per chip compared to x86 Haswell chips.",SID,companhia-siderurgica-nacional-chooses-ibm-systems-and-storage-to-manage-analytics-workloads
Stag Industrial,"Prior to joining Suffolk, she served in various positions with McKinsey & Company, a global strategy consulting company, including as Senior Expert in Analytics, where she specialized in the design and implementation of end-to-end analytics transformations, and as Associate Principal, where she focused on strategic, commercial and analytics consulting for transport, travel, hospitality and logistics clients. ",STAG,stag-industrial-appoints-jit-kee-chin-to-board-of-directors
 Controladora Vuela Co Avcn SA CV,"The SAP SuccessFactors Human Experience Management (HXM) Suite provides solutions for core HR and payroll, talent management, employee experience management and people analytics. Built as a highly scalable platform it meets complex cross border requirements, delivering tax regulation and HR policy updates in 98 specific countries, 42 languages and payroll in 45 countries.

HXM is designed around what employees need, how they work, and what motivates them. It empowers employees and enables HR leaders to accelerate business growth.

SAP SuccessFactors HXM solutions leverage Qualtrics solutions allowing customers to capture insights from employees and link them with operational data to see what is happening, understand why and take action. More than 550 customers have selected these solutions since their launch in May 2019.

Chobani, Volaris, and Hyundai Motor Europe were some of many competitive wins.",VLRS,SAP SE: Solid Start to 2020 Amidst COVID-19 Crisis
Smartsheet,"SAP CX solutions also use the benefits of Qualtrics Customer Experience Management to understand the wants and needs of customers. This enables organizations to combine customer feedback and operational data to listen, understand and take action in the moment to improve the customer experience.

Smartsheet was one of many companies who chose SAP Customer Experience solutions, while Mindray and Kennametal went live in Q1.
",SMAR,SAP SE: Solid Start to 2020 Amidst COVID-19 Crisis
General Motors,"Concur provides integrated travel, expense, and invoice management solutions that simplify and automate these time-consuming everyday processes. The SAP Concur mobile app guides employees through every trip, charges are effortlessly populated into expense reports, and invoice approvals are automated. By integrating near real-time data and using AI to audit 100% of transactions, businesses can see and efficiently control their travel spend.

Marzam and General Motors were among the companies who chose SAP Concur solutions in the first quarter.",GM,SAP SE: Solid Start to 2020 Amidst COVID-19 Crisis
Amerigas,"Additionally, AmeriGas will adopt BENEFITFOCUS® Benefit Informatics, a data analytics and reporting solution that integrates disparate sources of healthcare information into a single, secure data warehouse. This enables predictive analytics for in-depth evaluation and monitoring of plan utilization, cost and performance. Benefit Informatics also can incorporate medical claim, prescription and eligibility data in the Plan Shopping App, allowing employees to base decisions on their personal historical data. With standard and ad hoc reporting features, AmeriGas can review data at the plan level or drill down by plan details to identify trends and healthcare cost drivers. These reports can facilitate the plan design process and can be exported in multiple file formats to streamline data across departments.",APU (acquired by UGI in Aug 2019),amerigas-selects-benefitfocus-for-benefits-enrollment-communication-and-analysis
Enova," It's that talent that has helped fuel our rapid growth, and it's great to be in a historic building with an exciting new space that fits our people and how we work.  Last year Enova hired 81 technology and analytics employees to support its businesses and product pilots in the U.S., Brazil, China, and the U.K. In November, the company also began its Software Engineering Apprenticeship Program, which provides a pathway for motivated individuals who want to pursue a career as a developer but do not have a traditional technology education.When selecting the ideal location for its new office, Enova naturally relied on analyticsÂ to determine where Enova team members live and what routes they take to the office, to pinpoint the ideal location. ",ENVA,enova-unveils-new-loop-office-and-renews-commitment-to-chicagos-tech-community
Home depot,"He has played an integral role in the company's merchandising transformation, leading the implementation of new pricing and analytics processes, as well as new merchandise planning and assortment tools. ",HD,the-home-depot-names-ted-decker-evp-merchandising
